source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_59,aug_steps_6,FNO + aug.,59,0.02,,0.5,0.4084545504301786,0.5645235329866409,0.554912852589041,boost_0.50
severity,runs/ablations/2d_galilean_n64_label_efficiency_2pct_ood_severity/fraction_0.02/boost_0.50/aug_steps_6/seed_71,aug_steps_6,FNO + aug.,71,0.02,,0.5,0.5415244773030281,0.6293666092678905,0.6216061231680214,boost_0.50
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_23,aug,FNO + aug.,23,0.01,0.05,0.25,0.6587285734713078,0.6660089818760753,0.4763599368743598,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_31,aug,FNO + aug.,31,0.01,0.05,0.25,0.8258921690285206,0.8318642480298877,0.5602677366696298,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.01/aug_steps_6/seed_47,aug,FNO + aug.,47,0.01,0.05,0.25,0.7175309807062149,0.7283379593864083,0.4873049389570951,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_23,aug,FNO + aug.,23,0.02,0.05,0.25,0.4750366043299436,0.5000794478692114,0.3610182222910225,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_31,aug,FNO + aug.,31,0.02,0.05,0.25,0.5449895411729813,0.5710898628458381,0.4078086395747959,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_47,aug,FNO + aug.,47,0.02,0.05,0.25,0.5343834832310677,0.5534176761284471,0.3913539866916835,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_59,aug,FNO + aug.,59,0.02,0.05,0.25,0.4084545504301786,0.4483756138943136,0.3361896541900933,
training,runs/ablations/2d_galilean_n64_label_efficiency_compute_matched/fraction_0.02/aug_steps_6/seed_71,aug,FNO + aug.,71,0.02,0.05,0.25,0.5415244773030281,0.5652007795870304,0.4113992876373231,
